task,prompt_tokens,prefill_ts,gen_tokens,decode_ts,draft_acceptance,draft_accepted,draft_generated,mean_len,graphs_reused,ctx_tokens,total_s
0,180396,180.95,7518,15.55,0.50961,3871,7596,2.06,4303,187915,1480.5
3742,3612,103.18,3607,15.18,0.49636,1839,3705,2.04,6061,187611,272.7
3743,1255,93.77,15911,18.03,0.6887,9626,13977,2.54,12221,201166,895.8
5517,11646,104.38,1160,13.93,0.3645,612,1679,2.13,12784,192779,194.9
12364,52519,350.83,3575,24.08,0.49805,1916,3847,2.16,14608,56094,298.2
14053,6907,240.17,239,26.78,0.34073,169,496,3.64,14688,59661,37.7
14130,5077,223.9,176,29.78,0.54795,120,219,3.18,14756,64672,28.6
14193,3708,214.18,20963,22.72,0.58417,11327,19390,2.18,24316,89161,940.1
23833,453,157.0,408,31.23,0.52007,285,548,3.39,24424,69057,15.9
23961,488,164.91,2292,34.22,0.72768,1630,2240,3.49,25058,71424,69.9
24627,1082,189.87,2156,25.81,0.60298,1294,2146,2.51,25899,72367,89.2
25494,494,162.52,771,31.56,0.68733,499,726,2.85,26160,71472,27.5
25771,790,177.34,736,35.31,0.69764,533,764,3.72,26343,72221,25.3
25977,789,176.36,1273,30.74,0.72154,824,1142,2.84,26779,73545,45.9
26431,1001,182.15,780,31.87,0.63107,520,824,3.02,27028,74049,30.0
26696,810,174.39,406,29.13,0.43642,302,692,4.08,27115,74482,18.6
26806,332,144.09,23878,24.05,0.65385,13872,21216,2.39,36986,98281,995.2
36817,534,156.87,814,27.28,0.47208,541,1146,3.05,37232,75747,33.2
37095,686,167.98,12428,27.15,0.68634,7514,10948,2.54,42046,88041,461.8
42012,8572,193.65,1549,42.39,0.70401,1263,1794,5.56,42334,85731,80.8
42306,1305,170.45,2402,28.93,0.61883,1591,2571,3.0,43093,87885,90.7
43121,2058,174.7,953,31.66,0.44083,745,1690,4.84,43264,88492,41.9
43335,908,159.4,1876,25.52,0.5688,1174,2064,2.7,43934,90316,79.2
44040,926,158.86,141,22.99,0.34672,95,274,3.16,43975,89505,12.0
44091,795,154.58,316,25.78,0.50754,202,398,2.84,44080,90469,17.4
44208,262,117.6,132,26.43,0.54487,85,156,2.81,44125,90545,7.2
44260,451,140.25,2054,29.93,0.65709,1441,2193,3.37,44708,92914,71.8
44878,1096,159.41,609,36.43,0.6093,485,796,5.08,44817,92561,23.6
45007,620,145.51,3026,22.94,0.55322,1793,3241,2.47,46008,95594,136.1
46245,800,150.15,2859,24.8,0.63005,1761,2795,2.62,47074,96221,120.6
47346,1013,154.46,2513,21.76,0.59569,1382,2320,2.22,48193,96884,122.0
48480,153,88.84,104,24.34,0.50746,68,134,2.89,48226,94626,6.0
48521,502,137.68,369,21.76,0.365,219,600,2.51,48362,95388,20.6
48675,326,119.59,1478,22.69,0.50749,881,1736,2.5,48928,96820,67.9
49277,743,146.6,155,26.51,0.5534,114,206,3.78,48966,96237,10.9
