n_tokens,progress,cumulative_seconds,cumulative_tokens_per_second
2048,0.0663,6.2730,326.48
4096,0.1325,14.4140,284.16
6144,0.1988,22.8240,269.18
8192,0.2651,31.5380,259.75
10240,0.3314,40.4220,253.33
12288,0.3976,49.6300,247.59
14336,0.4639,59.2180,242.09
16384,0.5302,69.0260,237.36
18432,0.5964,79.1210,232.96
20480,0.6627,89.5030,228.82
22528,0.7290,100.2360,224.75
24576,0.7953,111.0960,221.22
26624,0.8615,122.3970,217.52
28672,0.9278,133.8450,214.22
30387,0.9833,145.4880,208.86
30899,0.9999,148.0160,208.76
